#NWS FLOOD STAGES with USGS ID'S
#Tediously Assembled By: Warren Pettee (Github: WEP11, Twitter: @wpettee)
#Probably by no means complete?

NWS ID, USGS ID, Action, Minor, Moderate, Major, Stage Units, Site Name, State
SNOA2, 15243900,12,16,17,18,ft,Seward,AK
SNKA2, 15621000,11,12,nan,nan,ft,Nome,AK
SLMA2, 15008000,nan,nan,nan,nan,ft,Hyder,AK
SLAA2, 15564879,17.5,18.7,20.2,nan,ft,Coldfoot,AK
SKLA2, 15266110,12,13,14.2,16,ft,Skilak Lake,AK
SKGA2, 15056100,25.5,26.5,28,30,ft,Skagway River Bridge,AK
SIXA2, 15271000,11,14,15.5,17,ft,Hope,AK
SGRA2, 15908000,19,20,22,nan,ft,Pump Station #3,AK
SGLA2, 15225997,nan,nan,nan,nan,nan,Valdez,AK
SCTA2, 15291700,nan,nan,nan,nan,nan,Chulitna,AK
SCKA2, 15081497,15,16.5,17.5,nan,ft,Klawock,AK
SCJA2, 15051010,nan,nan,nan,nan,ft,Juneau,AK
SAMA2, 15057596,nan,nan,nan,nan,ft,Gustavus,AK
SALA2, 15484000,13,14,nan,nan,ft,Richardson Hwy Bridge,AK
SADA2, 15742980,nan,nan,nan,nan,nan,Kotzebue,AK
RCBA2, 15297610,28.5,29.5,32,nan,ft,Cold Bay,AK
RBYA2, 15564800,29,40,nan,nan,ft,Ruby,AK
PRBQ9, 15388960,41,46,52,nan,ft,Canada Border,AK
PHLA2, 15478040,nan,nan,nan,nan,ft,base of Gulkana Glacier,AK
OTCA2, 15085100,nan,nan,nan,nan,ft,Kasaan,AK
NRDA2, 15302000,nan,12,nan,nan,ft,Dillingham,AK
NRCA2, 15580095,nan,nan,nan,nan,ft,Council,AK
MRGA2, 15515060,nan,nan,nan,nan,ft,Healy,AK
MPTA2, 15248000,8.5,10,11.5,13,ft,Lawing,AK
MOOA2, 15283700,14,14.5,nan,nan,ft,Palmer,AK
MONA2, 15292800,6.8,7.3,8.5,9.5,ft,Parks Highway Bridge,AK
MNDA2, 15052500,8,9,10,14,ft,Lake Level,AK
MKEA2, 15310002,nan,nan,nan,nan,ft,Kechumstuk,AK
MDEA2, 15803000,nan,nan,nan,nan,ft,Atqasuk,AK
MDBA2, 15214000,nan,nan,nan,nan,ft,Million Dollar bridge,AK
MCGA2, 15303600,19.5,21,23.5,27,ft,McGrath,AK
MCDA2, 15493700,22.5,24.5,nan,nan,ft,Chena Lakes,AK
MATA2, 15284000,9,9.5,10.8,nan,ft,Old Glenn Hwy,AK
LWCA2, 15293700,nan,nan,nan,nan,ft,Kashwitna,AK
LSHA2, 15290100,9,11,12,13,ft,Parks Hwy Bridge,AK
LMCA2, 15052000,nan,nan,nan,nan,nan,Juneau,AK
LHFA2, 15226620,nan,nan,nan,nan,ft,Horsetail Falls near Valdez,AK
KUPA2, 15896000,34,35.5,37,nan,ft,Deadhorse,AK
KSFA2, 15242000,nan,nan,nan,nan,ft,Kasilof,AK
KRWA2, 15293200,174.5,176,178,nan,ft,Willow,AK
KRKA2, 15266150,11.7,13.2,15,16.5,ft,Killey River,AK
KRHA2, 15564900,62,64,67,70,ft,Hughes,AK
KNKA2, 15281000,nan,nan,nan,nan,ft,Old Glenn Hwy,AK
KLCA2, 15303900,nan,nan,nan,nan,ft,Liskys Crossing,AK
KIAA2, 15744500,nan,60.1,nan,nan,ft,Kiana,AK
KDKA2, 15295700,4,5,7,nan,ft,Kodiak,AK
JSBA2, 1505248590,nan,nan,nan,nan,ft,Suicide Basin,AK
IRVA2, 15087700,24.5,25.5,nan,nan,ft,Sitka,AK
ILRA2, 15300300,nan,nan,nan,nan,nan,Pedro Bay,AK
IKPA2, 15820000,nan,nan,nan,nan,ft,Barrow,AK
